Airport Code,Page Rank
ORD,46.8142885582247
DEN,41.84384486893999
ATL,36.23272605980385
DFW,29.482907522719305
LAS,27.95741904838109
ANC,27.754878902053377
LAX,27.46601614940757
MCO,27.19050702510813
EWR,26.204067188912415
IAH,25.572963540801513
BET,25.198155602953147
PHX,24.827974428543534
MSP,24.18400162551742
FAI,23.110417737762084
SEA,22.58488037045945
CLT,21.824369465963798
DTW,20.587233203023178
MIA,20.521442631046845
PHL,19.880860261247136
IAD,19.864851662303646
FLL,17.865240787976358
SFO,17.719171301936974
SLC,17.53943414959456
TPA,17.0412144351145
BOS,16.591353235377017
MEM,16.568058900158622
SDF,16.417583175266532
BNA,16.31886746571146
AUS,15.591480361481818
JFK,14.625087953439298
LGA,13.582777274566647
IND,13.557004495179608
BWI,13.492894236600389
PDX,12.511701587868066
DCA,12.369382782579187
CVG,12.144261464907101
WFB,11.490014770471523
SAN,11.138975887763582
RSW,11.092429961524592
STL,11.061442195344164
MSY,10.927909358464483
OME,10.831359013147933
MDW,10.016317858193808
PIT,9.869263821583308
RDU,9.345413773572346
DAL,9.273892528560998
MCI,8.896975545692522
SAT,8.745794390914327
OAK,8.629288104574465
CLE,8.241431580660771
ONT,7.711320590573124
JNU,7.63282680588722
CMH,7.449020447077725
HOU,7.249001290617137
JAX,7.064174807616163
PBI,7.027010035652624
HNL,6.9495204408534965
A43,6.9263795374843875
SJC,6.847966549950685
OTZ,6.827165304194246
MKE,6.6958900525102765
SJU,6.666177216984506
BDL,6.516500602050615
SMF,6.500588913091677
ADQ,6.0227748813454935
CHS,5.750804551457921
SRQ,5.7271510985386325
BUF,5.569846946299196
OKC,5.526692430426534
OMA,5.491228112053203
SFB,5.491036479776864
AKN,5.252672771785096
UNK,5.136167314613099
KSM,5.069905129201783
RNO,4.989609629752329
ANI,4.962757682847035
GEG,4.89528598590383
ABQ,4.836067118826181
EMK,4.66351317720233
RIC,4.648240623277965
SNA,4.627024812677325
TUS,4.596561135891841
HPN,4.5167815796291
ELP,4.420070572581612
DSM,4.394430915082613
ORF,4.339542184694115
AZA,4.29142176154333
SYR,4.291148353686041
BUR,4.171970706234373
VNY,4.171660867688883
GRR,4.162171215520738
BOI,4.150509115778697
KTB,4.011376156934752
OGG,4.007170857460633
PIE,3.965446502832204
TUL,3.9182364957311777
PSP,3.9057889250851665
BRW,3.785196026050584
TYS,3.7475742514242674
DLG,3.7452841803902173
PVD,3.742989228889391
SAV,3.7134471868552343
SCC,3.6030482299351743
ALB,3.5621911419454593
TEB,3.5370604961364878
GSO,3.5089804696595333
ILI,3.450351632502297
LKE,3.3449302549718136
ICT,3.332431040059583
ROC,3.3103025146881917
GSP,3.298661542417217
AFW,3.2445841923631766
GAL,3.2323774629860607
BZN,3.219229659606102
KOT,3.1876042516154377
YIP,3.1794251837188314
MYR,3.1503881890287437
KOA,3.125568253480193
BHM,3.0752721208793625
MOU,2.995696364655741
MDT,2.980874283361301
RFD,2.9620723296292324
ACY,2.8772792451522102
LIT,2.7609033337212505
MSN,2.7450668361402246
CID,2.73399675381978
LRD,2.708166499944922
MRI,2.7039811844654142
FYU,2.683039719813984
XNA,2.6812275282242415
SIT,2.6427314752037496
SCM,2.5759671928381533
COS,2.5615762464338467
RSH,2.5608243683942726
GPT,2.5436768673255803
PQS,2.5433322132770892
KEH,2.4780641294388595
PNS,2.466194006116941
PGD,2.459578679454643
FAT,2.3884872574328666
FSD,2.364715987259621
IFP,2.3606596328641154
MCG,2.359113346013761
CAE,2.331830482544101
LGB,2.2898290462600808
DUT,2.279694227665606
AKP,2.2639449038642367
SPN,2.2537574837839127
ALZ,2.2002267303621728
DAY,2.1883342976585753
HOM,2.1530137774085216
SBA,2.1390396014826356
SXP,2.0843793107717317
OOK,2.075669041520065
AUK,2.070753875009799
EEK,2.0665772143905468
WTL,2.0393175581617116
BTV,2.033245015827868
PWM,2.026670224717894
VEE,2.017993912034485
BED,1.9961012809865535
KZB,1.9958551145197003
NUI,1.985065269704171
TNK,1.9800273855671942
BID,1.9696364051801818
MA4,1.9696364051801818
WST,1.9696364051801818
SSB,1.9696364051801818
EEN,1.9696364051801818
SPB,1.9696364051801818
AEX,1.955868454306109
HPB,1.9502544405916382
HRL,1.9387388039798528
MQY,1.925921949999721
ORI,1.8970944259025058
STT,1.8962546206672324
HSV,1.878815215407422
CGA,1.8748777027237553
KXA,1.8748777027237553
FAR,1.8664674849482719
JAC,1.8513816715369984
SMK,1.8439869479593038
MHT,1.8284787670766345
BTI,1.813943298138358
KKB,1.801359070481149
AVL,1.7994749871047566
EDA,1.7983533769810167
OPF,1.7952329693367082
ARC,1.7925248907924562
MLL,1.786262719110782
ATT,1.7740906708287985
NUL,1.7629606507372042
ABE,1.758411331481596
AET,1.7397674868065396
HSL,1.7368003762533963
LEX,1.7298420431434915
KUK,1.725098888150251
VPS,1.7245689065252994
BLD,1.7054740011606364
KKH,1.701882175214129
LBB,1.6849818567218204
KAL,1.674114808807248
FWA,1.6717603086484556
PHO,1.6674881200923606
EYW,1.6663345176505133
PPV,1.665518405469196
LIH,1.6645535068062633
KPN,1.6641988243451087
SBN,1.6601519806447997
BTR,1.6381662563932744
VAK,1.6046474309740941
NUP,1.6006092660693878
RBY,1.5926662748214961
EUG,1.5861588561254194
ROP,1.5855246959938032
WBB,1.5813851825013436
NKI,1.5774031448839918
BFI,1.571595952741128
DGB,1.571188467486076
SHV,1.569385205395035
RCE,1.5670614217022656
PKA,1.5625601709219439
ISP,1.5611429873596534
KCC,1.5594840767215252
SHH,1.5498242217303604
ECP,1.5483227472929844
KWK,1.53198021321596
HDN,1.5240317395146448
NME,1.5050385015133698
SGF,1.4904271042503352
KWP,1.489987493070657
KPY,1.489987493070657
CDB,1.488528525734797
GKN,1.477343186562808
HYL,1.4735605109983103
BTT,1.4700412115213843
MFR,1.4686390663293807
GUM,1.4632862511014981
AOS,1.4629077029270325
BIL,1.4628993743605545
KTN,1.4563553727088152
KPR,1.4509775821882074
ORV,1.415166811511589
NIB,1.4092165619012136
KKA,1.3799986673536284
CYF,1.3622417813334708
KLN,1.361517040856649
SKK,1.3568576788217663
KOZ,1.34466815945559
SDP,1.3442467202140091
ASE,1.3437816228606971
DHB,1.331925314541812
SNP,1.32578632611063
PSG,1.3208877323608728
MAF,1.318518930962525
TLH,1.2985300430776712
TIQ,1.2935128450306357
CAK,1.2904326543125477
FBS,1.2793652855114845
WNA,1.275813462659401
LCK,1.2642252462518044
PIP,1.2635486843241808
KKI,1.263361532445463
JAN,1.2620354565107814
KPB,1.2603751453438896
IAN,1.258354113447334
PTH,1.2558593134641896
RDB,1.245401382871549
UGI,1.236024163870463
SYB,1.2351547897917294
CHA,1.234589685907797
WWT,1.222380801618891
SVA,1.2173954732836672
KWN,1.2112632174640146
MTJ,1.2096465800571496
ROA,1.191904942447334
WBQ,1.189326032563933
TOG,1.1789458616485993
PAE,1.1748216221833812
WWP,1.1722208589848193
RDM,1.1652678932808473
PTK,1.1521476746975212
SOV,1.1448043228385336
GAM,1.1400808696777507
HCR,1.140007583450813
SHG,1.1353928816752519
WMO,1.134468614027676
GCN,1.114113086978562
GST,1.1030410290811667
ATW,1.0984783519083516
WLK,1.0958628367568648
WTK,1.0942903368990555
GLV,1.0895462039793402
HUS,1.084441511215387
MFE,1.0797992840885406
PGM,1.0658475265882599
GRB,1.0636158785484486
GJT,1.063318224095483
KLG,1.0627520445936738
BKC,1.0617473956782146
KNK,1.0615075886420966
KYU,1.049313615576512
TKJ,1.0470034892944617
CXF,1.044566675910905
KVL,1.0429976369155067
MLI,1.0157145532838998
MSO,1.008335970063434
ELI,1.0082029757807414
CHO,0.9994016868044048
SHX,0.9869563206341664
HHR,0.9837353882832068
SBD,0.9721406666037367
AMA,0.9683073302432014
MRY,0.9658376503419343
PPC,0.965829429407651
SCE,0.9657325612488111
FNT,0.9585370611370514
KWT,0.9574924672758747
PSC,0.9526504960787009
KBC,0.9508742972292951
WAA,0.9468185146039501
FCA,0.9466897300844318
DRT,0.9412454736453423
PIA,0.9361802529374239
STS,0.9232734222842431
TLA,0.9149237188398482
IDA,0.914743936714088
FTW,0.9080205159845491
YAK,0.9058170014430919
MLB,0.9003965628986546
TLT,0.8884038466251072
KGX,0.8851009156701679
PGA,0.8812752473853614
GTF,0.8806536288949303
ABL,0.8787476346234339
KMO,0.8663163961026286
WHD,0.8610541467727446
MTM,0.8610541467727446
HYG,0.8610541467727446
HNH,0.8523263949559284
SWF,0.8512835271587117
