Airport Code,Page Rank
ORD,46.82409858414138
DEN,41.85119256116593
ATL,36.241232227136386
DFW,29.48805801446766
LAS,27.963653832624303
ANC,27.749824550857095
LAX,27.472186769330726
MCO,27.197613578631515
EWR,26.21095044743978
IAH,25.579037642201325
BET,25.195349191454945
PHX,24.833290845166236
MSP,24.18890186627624
FAI,23.10352493496017
SEA,22.588518854415426
CLT,21.828934904809728
DTW,20.592208694775287
MIA,20.526726066665415
PHL,19.88589688365387
IAD,19.86931044930683
FLL,17.869186075874392
SFO,17.723105084939945
SLC,17.54253061712804
TPA,17.045626823444803
BOS,16.594976277724655
MEM,16.57147330656553
SDF,16.42111119570287
BNA,16.32250142217438
AUS,15.595035833382354
JFK,14.628514193266758
LGA,13.586436648689057
IND,13.560497808150965
BWI,13.495975821016719
PDX,12.513868199597734
DCA,12.372587324445695
CVG,12.147039558452157
WFB,11.485838911874314
SAN,11.141411730186181
RSW,11.09527752584779
STL,11.063717622563264
MSY,10.930662255356774
OME,10.829679586182808
MDW,10.018754687917468
PIT,9.871432721217463
RDU,9.347840991615724
DAL,9.27599443605802
MCI,8.898889817693112
SAT,8.747671324019679
OAK,8.630714834174043
CLE,8.243632455759055
ONT,7.712687506306448
JNU,7.629988292231571
CMH,7.450651590826327
HOU,7.250577372372218
JAX,7.0658034870475905
PBI,7.028142720865919
HNL,6.950260522966263
A43,6.923521161523269
SJC,6.849251801495372
OTZ,6.825529527371305
MKE,6.6973448740429635
SJU,6.667360192228823
BDL,6.518164630181378
SMF,6.501886467091727
ADQ,6.020635149937035
CHS,5.75207931026683
SRQ,5.728416829439636
BUF,5.571156020883616
OKC,5.527887110488245
OMA,5.492263726206821
SFB,5.491661179343667
AKN,5.250909911726975
UNK,5.1353391759533045
KSM,5.069484237651679
RNO,4.9905402676400925
ANI,4.961506501824487
GEG,4.8957997846831
ABQ,4.836900508393369
EMK,4.663125607020462
RIC,4.649353373031968
SNA,4.627679205522257
TUS,4.597331123413185
HPN,4.516211545895209
ELP,4.420886691370538
DSM,4.3954318777137384
ORF,4.340457692774061
SYR,4.29212178281444
AZA,4.291840286250326
BUR,4.17222428873182
VNY,4.171697804665096
GRR,4.16306727280764
BOI,4.151159677696601
KTB,4.009957491951392
OGG,4.007506865860054
PIE,3.965723843919543
TUL,3.918991918377611
PSP,3.9064286851729952
BRW,3.7842469539630565
TYS,3.7481048643091293
DLG,3.7441057249364347
PVD,3.7437699039759744
SAV,3.7142374649436705
SCC,3.6021668072880937
ALB,3.563034547057711
TEB,3.536198676932831
GSO,3.509654456909238
ILI,3.4491818377414947
LKE,3.343935148978052
ICT,3.332973140567857
ROC,3.3110503063244976
GSP,3.299374917662581
AFW,3.2450726552178244
GAL,3.23158034343391
BZN,3.2195183461994175
KOT,3.1872913145118646
YIP,3.1793262714730055
MYR,3.1508987140835734
KOA,3.1260131677026712
BHM,3.075897451537389
MOU,2.9953953364124417
MDT,2.9813704226849995
RFD,2.9624102414218534
ACY,2.87724430540521
LIT,2.761200412155396
MSN,2.7455946746943427
CID,2.7345037049570626
LRD,2.7082881379843693
MRI,2.702753198605099
FYU,2.6822381979611554
XNA,2.681775085592014
SIT,2.6415950459917004
SCM,2.575664340032759
COS,2.5620278948001936
RSH,2.5604944326012773
GPT,2.5441414781572584
PQS,2.543065250484107
KEH,2.4773000022434517
PNS,2.466708524475999
